,dates,weights
96,2021-02-01,"[0.10759357 0.12166719 0.1493958  0.15387571 0.11072089 0.10660605
 0.25014085]"
97,2021-02-02,"[0.10843991 0.12065457 0.1491637  0.15074584 0.11222333 0.10772994
 0.25104272]"
98,2021-02-03,"[0.10903248 0.12536053 0.14784168 0.15310504 0.11126792 0.10563197
 0.24776036]"
99,2021-02-04,"[0.10814576 0.12143774 0.15042436 0.15133387 0.11145122 0.10715375
 0.2500532 ]"
100,2021-02-05,"[0.10805919 0.12484171 0.1485966  0.15518156 0.11029664 0.10583683
 0.24718745]"
101,2021-02-08,"[0.10756654 0.12380841 0.14937143 0.1545412  0.11155822 0.10609461
 0.24705958]"
102,2021-02-09,"[0.10870408 0.12238797 0.14865626 0.15470394 0.11102101 0.10635669
 0.24817002]"
103,2021-02-10,"[0.10877289 0.1242723  0.14829431 0.15202159 0.11082114 0.10651272
 0.24930507]"
104,2021-02-11,"[0.10865527 0.12187316 0.14961804 0.15178172 0.11094014 0.10728837
 0.24984331]"
105,2021-02-12,"[0.10873687 0.12418211 0.14932552 0.15125641 0.11103865 0.10668671
 0.24877374]"
106,2021-02-16,"[0.10889991 0.12684937 0.14770183 0.15030123 0.11106312 0.10623486
 0.24894972]"
107,2021-02-17,"[0.10947294 0.12393338 0.14882623 0.1501435  0.11139369 0.10676655
 0.24946369]"
108,2021-02-18,"[0.110024   0.12127116 0.14897588 0.1503782  0.11062703 0.10744252
 0.25128123]"
109,2021-02-19,"[0.10888908 0.12731992 0.14883819 0.14975317 0.11206735 0.10613601
 0.24699624]"
110,2021-02-22,"[0.1089777  0.12666108 0.14813158 0.15599117 0.11059888 0.10546605
 0.24417365]"
111,2021-02-23,"[0.10963943 0.12414999 0.14933059 0.14900464 0.11137735 0.10716178
 0.24933627]"
112,2021-02-24,"[0.1067109  0.1315073  0.14718701 0.15205622 0.11124118 0.10510997
 0.24618734]"
113,2021-02-25,"[0.11156114 0.12416607 0.14902943 0.1503749  0.1111912  0.10630025
 0.24737701]"
114,2021-02-26,"[0.10981349 0.12279106 0.14902106 0.1493117  0.11093056 0.10720709
 0.2509251 ]"
115,2021-03-01,"[0.10718913 0.12446785 0.14978443 0.15073086 0.1119535  0.10704071
 0.24883345]"
116,2021-03-02,"[0.1095888  0.12357934 0.14848225 0.15395379 0.11085401 0.10602067
 0.24752112]"
117,2021-03-03,"[0.11023126 0.12618108 0.14861403 0.15126231 0.1116861  0.10640828
 0.24561691]"
118,2021-03-04,"[0.11047638 0.12318367 0.14851384 0.1528833  0.11013357 0.10648604
 0.24832322]"
119,2021-03-05,"[0.10730466 0.12285601 0.14987786 0.15170115 0.1114693  0.1074129
 0.2493781 ]"
120,2021-03-08,"[0.10930229 0.12793268 0.14822038 0.15058921 0.11247969 0.10632796
 0.24514776]"
