time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/std,train/loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
545,34816,17,63,160,1.0253872871398926,-0.035593431442976,0.0063696,0.028955078125,0.2,0.0001,-2.878375716507435,1.1920928955078125e-07,-0.00012472439120756463,3.471597886464672e-06
572,36864,18,64,170,1.0246763229370117,-0.019263163208961487,0.006893312,0.1126953125,0.2,0.0001,-2.8881771840155124,1.1920928955078125e-07,-0.0029136465047486125,8.730986427919578e-06
598,38912,19,64,180,1.0169569253921509,-0.024306928738951683,0.0059199245,0.014013671875,0.2,0.0001,-2.879218623787165,0.0,-3.817390534095466e-05,6.162879942588507e-07
624,40960,20,65,190,1.0221319198608398,-0.018057096749544144,0.012174036,0.11025390625,0.2,0.0001,-2.8754136227071285,0.0,-0.0018126148555893452,1.06932450037317e-06
651,43008,21,65,200,1.0252795219421387,-0.02955613285303116,0.0057854014,0.056103515625,0.2,0.0001,-2.885146898031235,-1.1920928955078125e-07,-0.0007983377348864451,7.106154830880535e-07
678,45056,22,66,210,1.0360331535339355,-0.022593868896365166,0.010701798,0.091015625,0.2,0.0001,-2.8988086633384227,1.1920928955078125e-07,-0.0021846366056706757,8.042898808349568e-07
705,47104,23,66,220,1.0264641046524048,-0.027280205860733986,0.0013933347,0.007568359375,0.2,0.0001,-2.898927976936102,0.0,-0.00014584630262106656,1.0590978391345102e-05
731,49152,24,67,230,1.0366580486297607,-0.02978210151195526,0.0065391213,0.031494140625,0.2,0.0001,-2.9006925508379937,0.0,-0.0006480982672655955,2.717811663274089e-07
758,51200,25,67,240,1.042371392250061,-0.04001407325267792,0.010767954,0.115380859375,0.2,0.0001,-2.9158150643110274,0.0,-0.0032575862685916947,5.821061003297504e-07
783,53248,26,67,250,1.0553996562957764,-0.022198166698217392,0.006958735,0.0634765625,0.2,0.0001,-2.934036732465029,0.0,-0.00030984235054347663,1.6773186682173501e-06
809,55296,27,68,260,1.056527853012085,-0.043767526745796204,0.004525238,0.025830078125,0.2,0.0001,-2.947611740976572,5.960464477539063e-08,-0.001790225549484603,8.925779294119419e-06
835,57344,28,68,270,1.0563106536865234,-0.005250194109976292,0.008451886,0.077197265625,0.2,0.0001,-2.947301498055458,0.0,-0.0019227050594054162,6.661443932966596e-08
861,59392,29,68,280,1.057183027267456,-0.0454263836145401,0.0048519443,0.073974609375,0.2,0.0001,-2.9480767741799356,-1.1920928955078125e-07,-0.002761936021852307,8.524212508279841e-07
887,61440,30,69,290,1.0536301136016846,-0.04076835885643959,0.004108228,0.022119140625,0.2,0.0001,-2.9454020492732527,0.0,-0.0014039525616681204,6.292833361922629e-07
913,63488,31,69,300,1.0566825866699219,-0.024267705157399178,0.009579388,0.077294921875,0.2,0.0001,-2.945223382115364,-1.1920928955078125e-07,-0.0034969680098583924,3.291969884542181e-06
