,dates,weights
148,2021-04-16,"[0.13222295 0.16419475 0.1732676  0.18244424 0.11148029 0.13868654
 0.09770361]"
149,2021-04-19,"[0.13744532 0.16933388 0.18016602 0.15796034 0.11482451 0.14088275
 0.09938716]"
150,2021-04-20,"[0.13043362 0.15675414 0.17018503 0.20894264 0.10689905 0.13141301
 0.09537253]"
151,2021-04-21,"[0.137843   0.17564975 0.18415336 0.13462788 0.11768056 0.14721215
 0.10283335]"
152,2021-04-22,"[0.13493659 0.1655329  0.17652677 0.17351717 0.11253777 0.13881117
 0.09813773]"
153,2021-04-23,"[0.13102822 0.16341022 0.17397222 0.18349746 0.11163966 0.13897347
 0.09747868]"
154,2021-04-26,"[0.1306107  0.1632568  0.17304689 0.19003622 0.10992801 0.13778569
 0.09533565]"
155,2021-04-27,"[0.13672262 0.1726308  0.17901582 0.1556939  0.11557468 0.13963908
 0.10072313]"
156,2021-04-28,"[0.1333492  0.16685496 0.17319813 0.1784647  0.11126765 0.14012638
 0.09673901]"
157,2021-04-29,"[0.13515724 0.16663578 0.17729723 0.16895732 0.11405    0.1382743
 0.09962805]"
158,2021-04-30,"[0.13333839 0.16524994 0.17434345 0.18186365 0.11087547 0.13740346
 0.09692558]"
159,2021-05-03,"[0.13255773 0.1635008  0.17382134 0.18416524 0.11078735 0.13757087
 0.0975967 ]"
160,2021-05-04,"[0.1371624  0.16781873 0.17714931 0.16393428 0.11511612 0.14045936
 0.09835975]"
161,2021-05-05,"[0.13456905 0.16804603 0.17673384 0.16920094 0.1129086  0.13949566
 0.09904588]"
162,2021-05-06,"[0.13647845 0.16556217 0.18148603 0.16262437 0.11469989 0.13869996
 0.10044919]"
163,2021-05-07,"[0.1259115  0.16213927 0.1677525  0.20702033 0.1078715  0.13574012
 0.09356488]"
164,2021-05-10,"[0.13932373 0.17003667 0.17657284 0.16013743 0.1149161  0.13930428
 0.0997089 ]"
165,2021-05-11,"[0.13491663 0.1657074  0.17954224 0.16737033 0.11240618 0.14072485
 0.09933233]"
166,2021-05-12,"[0.1361709  0.16333628 0.17411372 0.18139255 0.11172145 0.13640106
 0.09686413]"
167,2021-05-13,"[0.13102277 0.16782227 0.17467195 0.17884389 0.11157593 0.13825154
 0.09781168]"
168,2021-05-14,"[0.13200946 0.16896822 0.17797811 0.168764   0.11334809 0.14054899
 0.0983832 ]"
169,2021-05-17,"[0.13665105 0.16940773 0.17788997 0.16275476 0.11447114 0.13956392
 0.09926144]"
170,2021-05-18,"[0.13192232 0.16533582 0.17404567 0.1863835  0.10941908 0.13661155
 0.0962821 ]"
171,2021-05-19,"[0.1346902  0.16366078 0.17676097 0.17332031 0.11211979 0.14083862
 0.09860933]"
172,2021-05-20,"[0.1318317  0.16346362 0.17707585 0.17794614 0.11189768 0.13926062
 0.09852438]"
173,2021-05-21,"[0.13391219 0.16607867 0.17499706 0.17619392 0.11392248 0.13766587
 0.09722976]"
174,2021-05-24,"[0.13194755 0.16696444 0.17517766 0.17743221 0.11127587 0.13900012
 0.09820219]"
175,2021-05-25,"[0.13475016 0.16935746 0.17587231 0.16768028 0.11336982 0.13924684
 0.09972314]"
176,2021-05-26,"[0.13375172 0.1711581  0.17636035 0.16869381 0.11298323 0.13943854
 0.09761434]"
177,2021-05-27,"[0.13504252 0.16767345 0.17871732 0.16597606 0.11498013 0.13922712
 0.09838338]"
178,2021-05-28,"[0.13276951 0.16213278 0.1744445  0.18234622 0.11112672 0.13919161
 0.09798855]"
179,2021-06-01,"[0.13248508 0.16818225 0.17442538 0.1790582  0.1131176  0.13628651
 0.09644498]"
180,2021-06-02,"[0.13435382 0.16794617 0.17525636 0.17317967 0.11197743 0.1389171
 0.09836943]"
181,2021-06-03,"[0.13602044 0.16379778 0.17803277 0.16943924 0.11389761 0.13953736
 0.09927476]"
182,2021-06-04,"[0.12926136 0.16062823 0.17424642 0.19381683 0.10960425 0.13608414
 0.09635881]"
183,2021-06-07,"[0.13710758 0.17382853 0.18613014 0.14598794 0.11453037 0.14203057
 0.10038498]"
184,2021-06-08,"[0.13058867 0.16458316 0.17053251 0.19311811 0.10988747 0.13531081
 0.09597927]"
185,2021-06-09,"[0.13789308 0.16772293 0.18059179 0.15467076 0.11371192 0.14422165
 0.10118791]"
186,2021-06-10,"[0.12904678 0.15422618 0.17411472 0.20072559 0.11006615 0.1354239
 0.0963966 ]"
187,2021-06-11,"[0.13408394 0.17036143 0.17318925 0.17336465 0.11203623 0.13856594
 0.09839864]"
188,2021-06-14,"[0.13646291 0.16611601 0.1804974  0.15809193 0.11447162 0.14322348
 0.10113665]"
189,2021-06-15,"[0.13421284 0.16564277 0.17427883 0.17761034 0.11252483 0.13820775
 0.09752264]"
190,2021-06-16,"[0.13159479 0.16445923 0.17256702 0.18907592 0.10916341 0.13702914
 0.09611046]"
191,2021-06-17,"[0.13367318 0.1631537  0.17752185 0.17661045 0.11116402 0.13909808
 0.09877875]"
192,2021-06-18,"[0.13830623 0.16907105 0.17928067 0.15652552 0.11418919 0.14159708
 0.10103027]"
193,2021-06-21,"[0.13018736 0.16363415 0.17263573 0.18927269 0.11149887 0.13635063
 0.09642054]"
194,2021-06-22,"[0.13946734 0.17302305 0.18287894 0.13954745 0.11680131 0.14524752
 0.10303441]"
