,dates,weights
77,2021-01-04,"[0.14736369 0.10949413 0.14879401 0.11148627 0.10763089 0.23881944
 0.13641153]"
78,2021-01-05,"[0.14518784 0.113012   0.15018831 0.10690644 0.10902663 0.23977397
 0.1359048 ]"
79,2021-01-06,"[0.1446237  0.11473068 0.15012613 0.1095075  0.1088639  0.23886213
 0.13328603]"
80,2021-01-07,"[0.14547414 0.11170204 0.15108463 0.10423536 0.10847364 0.24128217
 0.137748  ]"
81,2021-01-08,"[0.14624995 0.11065583 0.14993946 0.10538542 0.1080819  0.2417054
 0.13798203]"
82,2021-01-11,"[0.14690112 0.11214381 0.1494133  0.10753056 0.10791709 0.23996396
 0.13613018]"
83,2021-01-12,"[0.14478306 0.11387387 0.14911926 0.11210797 0.10795356 0.23752561
 0.13463666]"
84,2021-01-13,"[0.14640066 0.11471278 0.14988437 0.1051381  0.10789069 0.23898777
 0.13698572]"
85,2021-01-14,"[0.14506507 0.11583081 0.14973079 0.10850318 0.10877846 0.23759365
 0.13449815]"
86,2021-01-15,"[0.14721741 0.10937867 0.14962846 0.10963695 0.10734244 0.23962815
 0.13716796]"
87,2021-01-19,"[0.14543255 0.11141424 0.1509723  0.10708526 0.10848229 0.2395346
 0.1370788 ]"
88,2021-01-20,"[0.14517997 0.1101383  0.14991882 0.11060435 0.10722102 0.23895545
 0.13798203]"
89,2021-01-21,"[0.14689736 0.11172019 0.1495562  0.10659313 0.10752656 0.23998918
 0.13771734]"
90,2021-01-22,"[0.14568326 0.114233   0.14945254 0.11123952 0.10728491 0.23643608
 0.13567063]"
91,2021-01-25,"[0.14580797 0.11111546 0.14965749 0.11079147 0.10644502 0.2397992
 0.13638337]"
92,2021-01-26,"[0.14524242 0.11753881 0.14819957 0.10921914 0.10697641 0.23737644
 0.13544723]"
93,2021-01-27,"[0.14813979 0.11917587 0.14817432 0.10709362 0.10755859 0.23540875
 0.13444898]"
94,2021-01-28,"[0.145384   0.10897283 0.1499371  0.10812293 0.10832686 0.24181788
 0.13743836]"
95,2021-01-29,"[0.14771816 0.11370736 0.14984676 0.10822587 0.10746381 0.237187
 0.13585103]"
96,2021-02-01,"[0.14457032 0.11007731 0.150355   0.109699   0.10783398 0.2400148
 0.13744965]"
97,2021-02-02,"[0.14538106 0.10891657 0.14978506 0.10722698 0.10905238 0.24200174
 0.1376362 ]"
98,2021-02-03,"[0.14647539 0.11339688 0.14876215 0.10912868 0.10834579 0.23777574
 0.13611531]"
99,2021-02-04,"[0.14507237 0.10968833 0.15114026 0.10770869 0.10836606 0.24084963
 0.13717468]"
100,2021-02-05,"[0.14521676 0.11296561 0.14957212 0.11064593 0.10743618 0.23831712
 0.13584632]"
101,2021-02-08,"[0.14448747 0.1119785  0.15028211 0.11013809 0.1086145  0.23878647
 0.13571286]"
102,2021-02-09,"[0.14596832 0.11065803 0.14952071 0.11021858 0.10805657 0.23929898
 0.13627882]"
103,2021-02-10,"[0.14601776 0.11232872 0.14910632 0.1082755  0.10783032 0.2395796
 0.13686186]"
104,2021-02-11,"[0.14571247 0.11004883 0.15028532 0.10799549 0.10783702 0.24110211
 0.13701874]"
105,2021-02-12,"[0.14587115 0.11217166 0.1500422  0.10765803 0.10796924 0.23980947
 0.13647825]"
106,2021-02-16,"[0.14617445 0.11464728 0.14849658 0.10704035 0.10805552 0.23893198
 0.13665386]"
107,2021-02-17,"[0.14680399 0.11190535 0.14948489 0.10682607 0.10827418 0.23989959
 0.13680588]"
108,2021-02-18,"[0.14748058 0.10945521 0.14957191 0.10694796 0.10748351 0.24131645
 0.13774435]"
109,2021-02-19,"[0.14603648 0.11497537 0.14951271 0.10655984 0.10894049 0.23850808
 0.13546702]"
