,dates,weights
101,2021-02-08,"[0.10910597 0.08998588 0.18782645 0.16194534 0.16407801 0.0946525
 0.19240573]"
102,2021-02-09,"[0.10050961 0.08173856 0.17490645 0.2291105  0.14949554 0.08704002
 0.17719924]"
103,2021-02-10,"[0.10695829 0.08812229 0.18206482 0.18320702 0.15664135 0.09523433
 0.18777189]"
104,2021-02-11,"[0.10640782 0.08622082 0.18385601 0.1847381  0.15716323 0.0929689
 0.18864512]"
105,2021-02-12,"[0.10825421 0.0891184  0.18935038 0.16810545 0.160036   0.09372973
 0.19140588]"
106,2021-02-16,"[0.1038896  0.08699388 0.17538884 0.2056384  0.1547972  0.09099339
 0.18229869]"
107,2021-02-17,"[0.1069592  0.08810446 0.18189025 0.18760833 0.15664792 0.09269067
 0.18609911]"
108,2021-02-18,"[0.11077153 0.09002136 0.18776368 0.15742359 0.16238499 0.09661135
 0.19502349]"
109,2021-02-19,"[0.10153928 0.085628   0.17540915 0.21688338 0.1547273  0.08874388
 0.17706904]"
110,2021-02-22,"[0.11451659 0.09762704 0.1924514  0.13385566 0.16701007 0.09782212
 0.19671719]"
111,2021-02-23,"[0.0971233  0.0805971  0.165488   0.26048014 0.14266935 0.08473987
 0.16890219]"
112,2021-02-24,"[0.10663581 0.08704478 0.18467991 0.17553529 0.16177654 0.09361722
 0.19071044]"
113,2021-02-25,"[0.11356865 0.09095396 0.1892701  0.16079745 0.16152933 0.09257551
 0.19130498]"
114,2021-02-26,"[0.10421503 0.08657293 0.17975068 0.19905432 0.1524931  0.09399343
 0.18392053]"
115,2021-03-01,"[0.10465142 0.08578613 0.18112504 0.18982054 0.15919572 0.09156901
 0.18785207]"
116,2021-03-02,"[0.10482804 0.08617438 0.17890629 0.20687172 0.15344389 0.08901449
 0.18076122]"
117,2021-03-03,"[0.11334067 0.09374052 0.1864343  0.15091792 0.16566727 0.09699103
 0.19290832]"
118,2021-03-04,"[0.10480549 0.08303399 0.17826143 0.21492554 0.15067855 0.08885616
 0.17943874]"
119,2021-03-05,"[0.10779873 0.0878671  0.18896212 0.16207822 0.16181865 0.09714454
 0.19433072]"
